geoName,DeepFake,DeepFakes,Fake News,Deep Learning
Argentina,13,4,68,15
Australia,17,9,44,30
Austria,17,6,41,36
Belgium,16,5,49,30
Brazil,2,0,94,4
Canada,16,8,44,32
Chile,12,4,59,25
Colombia,8,3,61,28
Czechia,13,5,57,25
Denmark,13,5,57,25
Finland,26,11,23,40
France,12,2,55,31
Germany,13,6,36,45
Greece,11,7,45,37
Hong Kong,30,7,18,45
Hungary,23,5,36,36
India,5,2,34,59
Indonesia,29,14,17,40
Ireland,14,8,47,31
Israel,11,2,13,74
Italy,12,3,66,19
Japan,35,5,4,56
Malaysia,34,9,33,24
Mexico,10,4,71,15
Netherlands,22,7,32,39
New Zealand,18,10,44,28
Nigeria,7,7,61,25
Norway,16,9,47,28
Pakistan,9,3,31,57
Peru,14,4,38,44
Philippines,11,6,76,7
Poland,22,11,35,32
Portugal,8,3,58,31
Romania,12,7,51,30
Russia,27,19,11,43
Singapore,14,5,46,35
South Africa,5,3,73,19
South Korea,62,8,1,29
Spain,14,5,51,30
Sweden,16,11,38,35
Switzerland,10,3,41,46
Taiwan,27,7,6,60
Thailand,38,6,21,35
Turkey,22,8,8,62
United Arab Emirates,9,4,51,36
United Kingdom,16,8,51,25
United States,12,6,51,31
Vietnam,40,6,9,45
