date,DeepFake,DeepFakes,Fake News,Deep Learning,isPartial
2018-01-07,0,2,42,23,False
2018-01-14,0,2,100,23,False
2018-01-21,8,15,38,22,False
2018-01-28,19,31,33,25,False
2018-02-04,32,42,29,23,False
2018-02-11,16,20,30,21,False
2018-02-18,10,10,37,22,False
2018-02-25,7,7,36,22,False
2018-03-04,7,6,33,23,False
2018-03-11,6,5,33,23,False
2018-03-18,11,5,35,23,False
2018-03-25,7,4,33,22,False
2018-04-01,6,4,41,23,False
2018-04-08,6,4,35,24,False
2018-04-15,8,5,35,24,False
2018-04-22,7,5,32,24,False
2018-04-29,6,5,29,21,False
2018-05-06,5,4,29,24,False
2018-05-13,5,3,28,25,False
2018-05-20,5,3,28,24,False
2018-05-27,5,2,33,22,False
2018-06-03,5,3,28,23,False
2018-06-10,5,3,29,22,False
2018-06-17,5,2,32,21,False
2018-06-24,5,2,28,21,False
2018-07-01,6,2,24,21,False
2018-07-08,6,2,28,22,False
2018-07-15,5,2,29,21,False
2018-07-22,7,2,33,21,False
2018-07-29,6,2,33,22,False
2018-08-05,6,2,30,21,False
2018-08-12,5,2,30,20,False
2018-08-19,6,3,33,21,False
2018-08-26,6,2,40,23,False
2018-09-02,7,2,33,23,False
2018-09-09,6,2,41,22,False
2018-09-16,5,2,50,23,False
2018-09-23,5,2,41,23,False
2018-09-30,5,2,49,23,False
2018-10-07,6,2,75,24,False
2018-10-14,6,2,72,24,False
2018-10-21,6,2,70,23,False
2018-10-28,6,2,63,24,False
2018-11-04,6,2,58,23,False
2018-11-11,6,2,37,23,False
2018-11-18,6,2,33,23,False
2018-11-25,5,2,34,24,False
2018-12-02,6,2,33,25,False
2018-12-09,5,2,27,23,False
2018-12-16,5,2,24,22,False
2018-12-23,6,2,20,17,False
2018-12-30,18,6,22,17,False
2019-01-06,10,3,30,23,False
2019-01-13,7,2,31,22,False
2019-01-20,6,2,36,23,False
2019-01-27,13,4,32,24,False
2019-02-03,10,3,28,22,False
2019-02-10,9,3,31,24,False
2019-02-17,8,3,34,24,False
2019-02-24,8,3,37,23,False
2019-03-03,7,2,30,23,False
2019-03-10,7,2,34,23,False
2019-03-17,7,2,34,22,False
2019-03-24,6,2,32,26,False
2019-03-31,7,2,35,24,False
2019-04-07,6,2,28,23,False
2019-04-14,6,2,26,23,False
2019-04-21,8,2,28,23,False
2019-04-28,9,3,28,22,False
2019-05-05,8,2,29,23,False
2019-05-12,8,2,29,24,False
2019-05-19,11,2,29,24,False
2019-05-26,12,3,26,23,False
2019-06-02,12,3,29,22,False
2019-06-09,23,4,25,24,False
2019-06-16,17,3,25,24,False
2019-06-23,24,5,23,24,False
2019-06-30,22,4,25,22,False
2019-07-07,22,3,22,25,False
2019-07-14,18,3,20,23,False
2019-07-21,15,3,21,22,False
2019-07-28,15,3,21,21,False
2019-08-04,17,3,24,21,False
2019-08-11,22,3,25,22,False
2019-08-18,18,3,31,24,False
2019-08-25,19,2,34,23,False
2019-09-01,24,3,31,24,False
2019-09-08,18,3,31,24,False
2019-09-15,18,3,29,25,False
2019-09-22,20,3,33,24,False
2019-09-29,15,3,30,22,False
2019-10-06,28,4,31,24,False
2019-10-13,21,3,40,24,False
2019-10-20,19,3,32,23,False
2019-10-27,17,3,32,22,False
2019-11-03,16,3,35,24,False
2019-11-10,18,3,34,24,False
2019-11-17,16,3,40,24,False
2019-11-24,16,3,29,22,False
2019-12-01,16,2,30,24,False
2019-12-08,19,3,30,24,False
2019-12-15,17,3,25,24,False
2019-12-22,19,3,17,19,False
2019-12-29,22,3,18,18,False
